CategoryID,CategoryName,MainCategoryID.MainCategoryID
11, 鉱業・エネルギー開発,0
12, 電力・ガス,0
21, 紡績・繊維,1
22, 製紙・紙製品,1
23, 化学・化成品,1
24, ゴム・ゴム製品,1
25, 窯業・土石製品,1
26, 製鉄・金属製品,1
27, 産業用資材,1
31, 産業用装置・重電設備,2
32, 製造用機械・電気機械,2
33, 業務用機械器具,2
34, 情報機器・通信機器,2
35, 家庭用電気機器,2
36, 半導体・電子部品,2
37, 総合電機,2
41, 自動車,3
42, 自動車部品,3
43, 造船,3
44, 輸送用機械,3
51, 食品製造,4
52, 飲料・たばこ・嗜好品,4
61, 衣料品・服飾品,5
62, 日用品・生活用品,5
63, 趣味・娯楽用品,5
71, バイオ・医薬品関連,6
72, 医療・ヘルスケア・介護,6
81, 建設・土木,7
82, 建設資材・設備,7
83, 不動産・住宅,7
91, 総合商社,8
92, 繊維・化学・製紙卸,8
93, 建材・電気機械・金属卸,8
94, 医薬品・医療品卸,8
95, 食品卸,8
96, 生活関連用品卸,8
101, 総合小売・食料品小売,9
102, 衣料品・服飾品小売,9
103, 専門店・ドラッグストア,9
105, 家電小売,9
106, 自動車小売,9
107, 通信販売,9
111, 飲食店,10
112, 弁当・デリバリー,10
121, 銀行,11
122, 証券,11
123, 保険,11
124, 消費者・事業者金融,11
125, リース・レンタル,11
126, 投資,11
127, 不動産投資信託,11
128, 取引所・証券代行,11
131, 倉庫・物流,12
132, 陸運,12
133, 海運,12
134, 空運,12
141, マスメディア,13
142, 通信サービス,13
143, 広告,13
144, コンテンツ制作・配信,13
145, インターネットサイト運営,13
146, システム・ソフトウエア,13
151, レジャー・レジャー施設,14
152, 生活関連サービス,14
153, 教育,14
154, 人材紹介・人材派遣,14
155, 企業向け専門サービス,14
156, 旅行・ホテル,14
