CategoryID,Code
051,1301
095,1301
131,1301
051,1332
095,1332
131,1332
051,1333
095,1333
095,1352
131,1352
051,1375
051,1376
071,1376
081,1376
092,1376
051,1377
071,1377
051,1379
051,1380
051,1381
051,1382
071,1382
051,1383
071,1383
095,1383
051,1384
095,1384
082,1400
083,1400
083,1401
012,1407
081,1407
083,1413
081,1414
081,1417
083,1418
105,1418
154,1418
155,1418
083,1419
083,1420
152,1420
082,1429
083,1429
081,1430
083,1430
083,1431
081,1432
093,1432
081,1433
081,1434
083,1435
081,1436
083,1436
081,1438
083,1439
083,1440
081,1443
093,1443
125,1443
083,1444
081,1445
082,1445
093,1445
083,1446
081,1447
083,1447
146,1447
154,1447
155,1447
031,1448
081,1448
125,1448
083,1449
081,1450
083,1451
081,1452
026,1491
093,1491
096,1491
011,1514
011,1515
011,1518
093,1518
011,1605
011,1662
011,1663
012,1663
023,1663
012,1711
081,1711
081,1712
155,1712
081,1716
083,1717
155,1717
081,1718
083,1718
081,1719
081,1720
081,1721
081,1723
081,1724
081,1726
083,1728
081,1730
081,1734
093,1734
081,1736
093,1736
081,1737
081,1738
082,1738
083,1738
152,1738
083,1739
081,1743
081,1757
083,1757
081,1758
081,1762
081,1764
083,1764
152,1764
081,1766
083,1766
081,1768
081,1770
023,1771
081,1771
083,1773
081,1775
081,1776
081,1777
081,1780
081,1782
081,1783
151,1783
081,1787
081,1788
081,1789
081,1793
083,1795
081,1798
081,1799
081,1801
083,1801
081,1802
081,1803
081,1805
081,1807
081,1808
083,1808
081,1810
081,1811
081,1812
081,1813
081,1814
081,1815
081,1820
081,1821
081,1822
081,1824
081,1826
081,1827
081,1828
081,1832
081,1833
081,1835
083,1840
081,1841
083,1841
081,1844
081,1847
081,1848
081,1850
081,1852
081,1853
082,1853
081,1860
081,1861
081,1866
081,1867
081,1869
081,1870
081,1871
083,1873
083,1878
081,1879
083,1879
081,1881
082,1881
081,1882
082,1882
081,1883
082,1883
081,1884
082,1884
081,1885
081,1887
081,1888
081,1890
081,1892
081,1893
081,1897
081,1898
082,1898
081,1899
081,1904
081,1905
093,1905
125,1905
034,1909
082,1909
083,1909
082,1911
083,1911
081,1914
081,1921
083,1925
131,1925
081,1926
083,1928
081,1929
081,1930
081,1934
125,1934
081,1938
081,1939
081,1941
081,1942
081,1944
081,1945
081,1946
081,1948
081,1949
081,1950
081,1951
081,1952
031,1954
083,1954
081,1959
081,1960
012,1961
081,1961
023,1963
081,1963
081,1964
081,1965
081,1966
081,1967
081,1968
081,1969
093,1971
125,1971
082,1972
083,1972
093,1972
081,1973
146,1973
081,1975
031,1976
081,1976
032,1979
081,1979
081,1980
081,1981
081,1982
081,1992
146,1992
083,1994
081,1997
081,1999
082,1999
095,1999
051,2001
023,2002
051,2002
062,2002
095,2002
051,2003
023,2004
051,2004
023,2009
051,2009
023,2053
051,2053
062,2053
023,2055
051,2055
023,2058
051,2058
023,2060
051,2060
051,2107
023,2108
051,2108
051,2109
051,2112
051,2114
051,2117
145,2120
144,2121
145,2121
143,2122
145,2122
145,2124
154,2124
155,2127
143,2130
146,2130
126,2134
155,2136
152,2137
144,2138
141,2139
143,2139
154,2146
155,2146
145,2148
155,2150
155,2151
152,2152
083,2153
154,2154
155,2154
141,2156
143,2156
151,2157
146,2158
143,2159
071,2160
154,2162
155,2162
154,2163
155,2163
141,2164
154,2168
155,2168
155,2169
155,2170
143,2172
144,2172
152,2172
143,2173
126,2174
155,2174
154,2175
155,2175
071,2176
155,2178
153,2179
143,2180
144,2180
155,2180
154,2181
155,2181
071,2183
155,2185
146,2186
071,2191
107,2193
143,2193
145,2193
155,2195
111,2196
152,2196
156,2196
152,2198
051,2201
051,2204
051,2206
051,2207
051,2208
051,2209
051,2211
111,2211
051,2212
101,2212
051,2215
051,2216
051,2217
051,2218
051,2220
051,2221
051,2222
051,2224
051,2226
051,2229
051,2230
023,2264
051,2264
051,2266
051,2267
052,2267
071,2267
051,2268
051,2269
071,2269
023,2270
051,2270
052,2270
051,2281
051,2282
023,2286
051,2286
051,2288
051,2291
051,2292
051,2293
051,2294
111,2294
051,2296
152,2300
154,2301
146,2303
112,2304
152,2305
146,2307
154,2307
155,2307
071,2309
012,2311
083,2311
146,2315
146,2317
146,2321
144,2323
083,2325
146,2326
146,2327
141,2329
143,2329
144,2329
144,2330
033,2331
082,2331
083,2331
152,2331
146,2332
143,2334
145,2334
154,2334
146,2335
093,2336
146,2336
154,2336
155,2336
126,2337
126,2338
146,2338
151,2340
141,2341
145,2341
154,2341
071,2342
152,2344
146,2345
153,2345
154,2345
155,2345
146,2349
146,2351
146,2352
083,2353
151,2353
146,2354
146,2359
083,2362
154,2362
155,2362
071,2370
155,2370
107,2371
145,2371
071,2372
154,2372
155,2372
152,2373
083,2374
152,2374
154,2375
155,2375
141,2376
145,2376
151,2378
145,2379
154,2379
131,2384
051,2385
062,2385
071,2385
063,2388
125,2388
141,2388
144,2388
143,2389
146,2391
072,2393
152,2393
071,2395
071,2397
152,2398
143,2402
144,2402
155,2402
111,2404
151,2404
152,2406
141,2408
145,2410
154,2410
155,2410
143,2411
155,2411
155,2412
071,2413
145,2413
155,2413
152,2415
153,2415
154,2415
155,2415
152,2418
156,2418
152,2424
072,2425
152,2425
154,2427
155,2427
124,2428
071,2429
083,2429
093,2429
105,2429
146,2429
154,2429
155,2429
107,2432
144,2432
145,2432
143,2433
152,2435
155,2436
103,2437
152,2438
145,2440
125,2445
155,2449
093,2452
146,2452
152,2453
155,2453
145,2454
143,2459
143,2461
152,2462
154,2462
155,2462
153,2464
155,2464
155,2467
146,2468
093,2469
143,2469
154,2471
155,2471
154,2475
155,2475
145,2477
154,2479
155,2479
106,2480
145,2480
141,2481
153,2483
155,2483
107,2484
145,2484
152,2485
155,2487
146,2488
143,2489
144,2489
143,2491
145,2492
146,2492
146,2493
126,2497
143,2497
144,2497
081,2498
083,2498
092,2499
151,2499
052,2501
111,2501
051,2502
052,2502
071,2502
051,2503
052,2503
071,2503
051,2531
052,2531
071,2531
052,2533
071,2533
051,2540
071,2540
095,2540
051,2551
052,2573
052,2579
051,2586
052,2586
095,2586
107,2586
111,2586
051,2587
052,2587
071,2587
107,2588
052,2590
052,2593
052,2594
111,2594
022,2597
052,2597
052,2599
051,2602
071,2602
051,2607
051,2612
023,2613
051,2613
071,2613
101,2651
103,2652
101,2653
095,2654
111,2654
112,2654
152,2654
107,2656
143,2656
144,2656
145,2656
101,2659
101,2664
103,2664
103,2666
152,2666
146,2667
061,2668
051,2669
112,2669
102,2670
083,2673
107,2673
152,2673
103,2674
111,2675
093,2676
107,2678
145,2678
103,2681
151,2681
111,2683
102,2685
102,2686
101,2687
094,2689
095,2692
093,2693
111,2694
111,2695
103,2698
095,2700
111,2702
111,2705
063,2706
144,2706
051,2708
095,2708
092,2714
093,2715
083,2721
146,2721
151,2721
107,2722
061,2726
102,2726
103,2726
044,2729
112,2729
134,2729
105,2730
096,2733
081,2734
093,2734
106,2734
152,2734
103,2735
102,2736
093,2737
101,2742
033,2743
093,2743
146,2743
101,2747
112,2749
152,2749
095,2750
083,2751
111,2752
111,2753
106,2754
093,2760
093,2761
111,2762
093,2763
146,2763
111,2764
152,2764
033,2767
144,2767
091,2768
103,2769
032,2773
093,2773
061,2776
155,2776
096,2777
103,2777
102,2778
103,2780
103,2782
094,2784
106,2788
111,2789
103,2790
101,2791
103,2791
061,2792
102,2792
033,2795
034,2795
093,2795
103,2796
111,2798
152,2798
051,2801
052,2801
051,2802
052,2802
071,2802
051,2804
051,2805
051,2806
051,2809
062,2809
071,2809
051,2810
052,2810
051,2811
052,2811
051,2812
071,2812
051,2813
051,2814
051,2815
051,2816
051,2818
111,2818
051,2819
051,2820
051,2830
051,2831
051,2871
131,2871
051,2872
051,2874
131,2874
051,2875
131,2875
112,2876
051,2877
095,2882
111,2882
095,2883
051,2884
052,2884
095,2884
023,2892
051,2892
071,2892
051,2894
051,2897
051,2899
051,2901
052,2901
051,2902
071,2902
051,2903
051,2904
051,2905
051,2907
051,2908
051,2910
112,2910
051,2911
051,2914
052,2914
071,2914
051,2915
051,2916
051,2917
051,2918
051,2919
051,2922
051,2923
051,2924
051,2925
051,2926
051,2927
071,2927
107,2927
107,2928
151,2928
051,2929
071,2929
051,2930
071,2930
107,2930
145,2930
051,2931
062,2931
071,2931
051,2932
083,2970
127,2971
127,2972
083,2974
083,2975
126,2975
083,2976
083,2977
083,2978
145,2978
127,2979
083,2980
145,2980
146,2980
083,2981
083,2982
126,2982
083,2985
083,2986
083,2987
032,3001
041,3001
061,3001
071,3001
101,3001
023,3002
061,3002
151,3002
083,3003
126,3003
051,3004
092,3004
093,3004
095,3004
083,3010
156,3010
106,3011
105,3020
103,3021
093,3023
093,3024
103,3028
151,3028
111,3030
124,3031
145,3031
103,3032
103,3034
093,3035
093,3036
095,3038
101,3038
111,3039
146,3040
096,3041
152,3041
146,3042
061,3045
102,3046
106,3047
125,3047
105,3048
107,3048
145,3048
103,3050
111,3053
093,3054
096,3054
094,3055
103,3055
111,3057
103,3058
102,3059
103,3059
107,3059
111,3063
093,3064
145,3064
111,3065
111,3066
111,3067
111,3068
111,3069
096,3070
107,3071
145,3071
111,3073
111,3075
034,3076
083,3076
111,3077
094,3079
103,3080
111,3082
102,3083
111,3085
101,3086
111,3087
101,3088
103,3088
093,3089
111,3091
107,3092
145,3092
103,3093
101,3094
103,3094
101,3096
112,3096
111,3097
101,3098
103,3098
101,3099
021,3101
023,3101
071,3101
021,3103
023,3103
021,3104
023,3104
025,3104
061,3104
021,3105
022,3105
023,3105
025,3105
032,3105
034,3105
042,3105
021,3106
082,3106
021,3107
093,3107
021,3109
021,3110
082,3110
021,3111
126,3113
155,3113
042,3116
126,3121
156,3121
021,3123
061,3123
021,3125
093,3131
093,3132
095,3133
111,3133
096,3134
107,3134
145,3134
146,3134
107,3135
143,3135
145,3135
012,3136
103,3136
107,3137
112,3137
155,3137
096,3138
107,3138
141,3138
144,3138
145,3138
095,3139
062,3140
101,3141
103,3141
051,3143
095,3143
101,3148
103,3148
012,3150
094,3151
093,3153
146,3153
094,3154
093,3156
093,3157
103,3159
155,3159
095,3160
112,3160
061,3161
082,3161
092,3161
093,3166
012,3167
141,3167
142,3167
026,3168
062,3169
103,3169
107,3172
093,3173
102,3174
051,3175
111,3175
092,3176
093,3176
103,3177
111,3177
111,3178
103,3179
107,3179
145,3179
083,3180
094,3180
145,3180
103,3181
107,3182
145,3182
094,3183
106,3184
155,3184
092,3185
096,3185
107,3185
145,3185
106,3186
093,3187
107,3187
092,3189
102,3189
107,3189
145,3189
103,3190
152,3190
103,3191
107,3192
145,3192
111,3193
101,3194
103,3194
107,3195
145,3195
111,3196
112,3196
111,3197
111,3198
081,3199
092,3199
096,3199
103,3199
021,3201
021,3202
061,3202
021,3204
021,3205
061,3205
