Code,Name,MarketCap,Turnover,Market,AuditType
1301,(株)極洋,111184,262519,0,0
1332,日本水産(株),491533,690016,0,0
1333,マルハニチロ(株),528063,905204,0,0
1352,(株)ホウスイ,40128,80492,0,0
1375,(株)雪国まいたけ,35199,50759,0,0
1376,カネコ種苗(株),46792,58179,0,0
1377,(株)サカタのタネ,123601,61667,0,0
1379,ホクト(株),100602,71220,0,0
1380,(株)秋川牧園,5082,5790,1,0
1381,(株)アクシーズ,17956,19770,1,0
1382,(株)ホーブ,970,3230,1,0
1383,ベルグアース(株),3715,4885,1,0
1384,(株)ホクリヨウ,14676,13416,0,0
1400,ルーデン・ホールディングス(株),3255,3598,5,0
1401,(株)エムビーエス,3320,3345,3,1
1407,(株)ウエストホールディングス,82299,61947,1,0
1413,(株)ヒノキヤグループ,66937,117687,0,0
1414,ショーボンドホールディングス(株),102667,67590,0,0
1417,(株)ミライト・ホールディングス,352134,441166,0,0
1418,インターライフホールディングス(株),10404,19053,1,0
1419,タマホーム(株),101713,209207,0,0
1420,サンヨーホームズ(株),57896,56351,0,0
1429,(株)日本アクア,15379,21366,0,1
1430,ファーストコーポレーション(株),17941,23418,0,1
1431,(株)Ｌｉｂ　Ｗｏｒｋ,3143,6036,3,1
1433,ベステラ(株),4941,3436,0,0
1434,ＪＥＳＣＯホールディングス(株),9972,8993,2,0
1435,(株)ＴＡＴＥＲＵ,12290,18828,0,0
1436,(株)フィット,7586,4735,3,1
1438,(株)岐阜造園,3698,4088,4,0
1439,(株)安江工務店,2910,5059,1,0
1443,技研ホールディングス(株),12745,10008,2,0
1444,(株)ニッソウ,1133,2729,7,1
1446,(株)キャンディル,6854,13167,0,0
1447,ＩＴｂｏｏｋホールディングス(株),12983,21224,3,0
1448,(株)スペースバリューホールディングス,79307,85481,0,0
1449,(株)ＦＵＪＩジャパン,572,1507,8,1
1450,田中建設工業(株),5219,6662,1,1
1451,(株)ＫＨＣ,14462,11805,2,0
1491,中外鉱業(株),7756,28517,2,0
1514,住石ホールディングス(株),16622,15390,0,0
1515,日鉄鉱業(株),173954,117502,0,0
1518,三井松島ホールディングス(株),63155,66596,0,0
1605,国際石油開発帝石(株),4849995,1000005,0,0
1662,石油資源開発(株),627132,318822,0,0
1663,Ｋ＆Ｏエナジーグループ(株),94386,65133,0,0
1711,(株)省電舎ホールディングス,731,2273,2,0
1712,(株)ダイセキ環境ソリューション,21611,14048,0,0
1716,第一カッター興業(株),15533,17440,0,0
1717,明豊ファシリティワークス(株),5519,4353,0,1
1718,美樹工業(株),27678,29887,1,0
1719,安藤ハザマ,339772,378135,0,0
1720,東急建設(株),235897,322170,0,0
1721,コムシスホールディングス(株),450043,560882,0,0
1723,日本電技(株),38543,31298,1,1
1724,シンクレイヤ(株),8624,10294,1,0
1726,(株)ビーアールホールディングス,26398,34775,0,0
1728,ミサワホーム中国(株),17602,26387,1,0
1730,麻生フオームクリート(株),3413,4030,1,1
1734,(株)北弘電社,10006,15565,9,1
1736,(株)オーテック,26013,27225,1,0
1737,三井金属エンジニアリング(株),19883,21022,2,0
1738,(株)ＮＩＴＴＯＨ,5913,9066,4,0
1739,シード平和(株),24528,24847,5,1
1743,コーアツ工業(株),11446,11736,2,0
1757,クレアホールディングス(株),2546,2270,2,0
1758,太洋基礎工業(株),10251,11853,1,1
1762,(株)高松コンストラクショングループ,211431,282366,0,0
1764,工藤建設(株),13889,18650,2,1
1766,東建コーポレーション(株),189927,323386,0,0
1768,(株)ソネック,11294,15856,0,0
1770,藤田エンジニアリング(株),25040,29087,1,0
1771,日本乾溜工業(株),9992,13656,6,0
1775,富士古河Ｅ＆Ｃ(株),55157,81986,2,0
1776,三井住建道路(株),27111,33384,2,0
1777,川崎設備工業(株),16672,23123,4,1
1780,(株)ヤマウラ,21267,23769,0,0
1782,常磐開発(株),18031,18014,1,0
1783,(株)アジアゲートホールディングス,14182,3300,1,0
1787,(株)ナカボーテック,10576,11019,1,1
1788,(株)三東工業社,4003,5703,1,1
1789,(株)ＥＴＳホールディングス,4024,5518,1,0
1793,(株)大本組,92515,79060,1,1
1795,(株)マサル,8810,9095,1,0
1798,(株)守谷商会,29820,39531,1,0
1799,第一建設工業(株),69814,47940,1,1
