StockID,CategoryID
1301,51
1301,95
1301,131
1332,51
1332,95
1332,131
1333,51
1333,95
1352,95
1352,131
1375,51
1376,51
1376,71
1376,81
1376,92
1377,51
1377,71
1379,51
1380,51
1381,51
1382,51
1382,71
1383,51
1383,71
1383,95
1384,51
1384,95
1400,82
1400,83
1401,83
1407,12
1407,81
1413,83
1414,81
1417,81
1418,83
1418,105
1418,154
1418,155
1419,83
1420,83
1420,152
1429,82
1429,83
1430,81
1430,83
1431,83
1432,81
1432,93
1433,81
1434,81
1435,83
1436,81
1436,83
1438,81
1439,83
1440,83
1443,81
1443,93
1443,125
1444,83
1445,81
1445,82
1445,93
1446,83
1447,81
1447,83
1447,146
1447,154
1447,155
1448,31
1448,81
1448,125
1449,83
1450,81
1451,83
1452,81
1491,26
1491,93
1491,96
1514,11
1515,11
1518,11
1518,93
1605,11
1662,11
1663,11
1663,12
1663,23
1711,12
1711,81
1712,81
1712,155
1716,81
1717,83
1717,155
1718,81
1718,83
1719,81
1720,81
1721,81
1723,81
1724,81
1726,81
1728,83
1730,81
1734,81
1734,93
1736,81
1736,93
1737,81
1738,81
1738,82
1738,83
1738,152
1739,83
1743,81
1757,81
1757,83
1758,81
1762,81
1764,81
1764,83
1764,152
1766,81
1766,83
1768,81
1770,81
1771,23
1771,81
1773,83
1775,81
1776,81
1777,81
1780,81
1782,81
1783,81
1783,151
1787,81
1788,81
1789,81
1793,81
1795,83
1798,81
1799,81
1801,81
1801,83
1802,81
1803,81
1805,81
1807,81
1808,81
1808,83
1810,81
1811,81
1812,81
1813,81
1814,81
1815,81
1820,81
1821,81
1822,81
1824,81
1826,81
1827,81
1828,81
1832,81
1833,81
1835,81
1840,83
1841,81
1841,83
1844,81
1847,81
1848,81
1850,81
1852,81
1853,81
1853,82
1860,81
1861,81
1866,81
1867,81
1869,81
1870,81
1871,81
1873,83
1878,83
1879,81
1879,83
1881,81
1881,82
1882,81
1882,82
1883,81
1883,82
1884,81
1884,82
1885,81
1887,81
1888,81
1890,81
1892,81
1893,81
1897,81
1898,81
1898,82
1899,81
1904,81
1905,81
1905,93
1905,125
1909,34
1909,82
1909,83
1911,82
1911,83
1914,81
1921,81
1925,83
1925,131
1926,81
1928,83
1929,81
1930,81
1934,81
1934,125
1938,81
1939,81
1941,81
1942,81
1944,81
1945,81
1946,81
1948,81
1949,81
1950,81
1951,81
1952,81
1954,31
1954,83
1959,81
1960,81
1961,12
1961,81
1963,23
1963,81
1964,81
1965,81
1966,81
1967,81
1968,81
1969,81
1971,93
1971,125
1972,82
1972,83
1972,93
1973,81
1973,146
1975,81
1976,31
1976,81
1979,32
1979,81
1980,81
1981,81
1982,81
1992,81
1992,146
1994,83
1997,81
1999,81
1999,82
1999,95
2001,51
2002,23
2002,51
2002,62
2002,95
2003,51
2004,23
2004,51
2009,23
2009,51
2053,23
2053,51
2053,62
2055,23
2055,51
2058,23
2058,51
2060,23
2060,51
2107,51
2108,23
2108,51
2109,51
2112,51
2114,51
2117,51
2120,145
2121,144
2121,145
2122,143
2122,145
2124,145
2124,154
2127,155
2130,143
2130,146
2134,126
2136,155
2137,152
2138,144
2139,141
2139,143
2146,154
2146,155
2148,145
2150,155
2151,155
2152,152
2153,83
2154,154
2154,155
2156,141
2156,143
2157,151
2158,146
2159,143
2160,71
2162,154
2162,155
2163,154
2163,155
2164,141
2168,154
2168,155
2169,155
2170,155
2172,143
2172,144
2172,152
2173,143
2174,126
2174,155
2175,154
2175,155
2176,71
2178,155
2179,153
2180,143
2180,144
2180,155
2181,154
2181,155
2183,71
2185,155
2186,146
2191,71
2193,107
2193,143
2193,145
2195,155
2196,111
2196,152
2196,156
2198,152
2201,51
2204,51
2206,51
2207,51
2208,51
2209,51
2211,51
2211,111
2212,51
2212,101
2215,51
2216,51
2217,51
2218,51
2220,51
2221,51
2222,51
2224,51
2226,51
2229,51
2230,51
2264,23
2264,51
2266,51
2267,51
2267,52
2267,71
2268,51
2269,51
2269,71
2270,23
2270,51
2270,52
2281,51
2282,51
2286,23
2286,51
2288,51
2291,51
2292,51
2293,51
2294,51
2294,111
2296,51
2300,152
2301,154
2303,146
2304,112
2305,152
2307,146
2307,154
2307,155
2309,71
2311,12
2311,83
2315,146
2317,146
2321,146
2323,144
2325,83
2326,146
2327,146
2329,141
2329,143
2329,144
2330,144
2331,33
2331,82
2331,83
2331,152
2332,146
2334,143
2334,145
2334,154
2335,146
2336,93
2336,146
2336,154
2336,155
2337,126
2338,126
2338,146
2340,151
2341,141
2341,145
2341,154
2342,71
2344,152
2345,146
2345,153
2345,154
2345,155
2349,146
2351,146
2352,146
2353,83
2353,151
2354,146
2359,146
2362,83
2362,154
2362,155
2370,71
2370,155
2371,107
2371,145
2372,71
2372,154
2372,155
2373,152
2374,83
2374,152
2375,154
2375,155
2376,141
2376,145
2378,151
2379,145
2379,154
2384,131
2385,51
2385,62
2385,71
2388,63
2388,125
2388,141
2388,144
2389,143
2391,146
2393,72
2393,152
2395,71
2397,71
2398,152
2402,143
2402,144
2402,155
2404,111
2404,151
2406,152
2408,141
2410,145
2410,154
2410,155
2411,143
2411,155
2412,155
2413,71
2413,145
2413,155
2415,152
2415,153
2415,154
2415,155
2418,152
2418,156
2424,152
2425,72
2425,152
2427,154
2427,155
2428,124
2429,71
2429,83
2429,93
2429,105
2429,146
2429,154
2429,155
2432,107
2432,144
2432,145
2433,143
2435,152
2436,155
2437,103
2438,152
2440,145
2445,125
2449,155
2452,93
2452,146
2453,152
2453,155
2454,145
2459,143
2461,143
2462,152
2462,154
2462,155
2464,153
2464,155
2467,155
2468,146
2469,93
2469,143
2471,154
2471,155
2475,154
2475,155
2477,145
2479,154
2479,155
2480,106
2480,145
2481,141
2483,153
2483,155
2484,107
2484,145
2485,152
2487,155
2488,146
2489,143
2489,144
2491,143
2492,145
2492,146
2493,146
2497,126
2497,143
2497,144
2498,81
2498,83
2499,92
2499,151
2501,52
2501,111
2502,51
2502,52
2502,71
2503,51
2503,52
2503,71
2531,51
2531,52
2531,71
2533,52
2533,71
2540,51
2540,71
2540,95
2551,51
2573,52
2579,52
2586,51
2586,52
2586,95
2586,107
2586,111
2587,51
2587,52
2587,71
2588,107
2590,52
2593,52
2594,52
2594,111
2597,22
2597,52
2599,52
2602,51
2602,71
2607,51
2612,51
2613,23
2613,51
2613,71
2651,101
2652,103
2653,101
2654,95
2654,111
2654,112
2654,152
2656,107
2656,143
2656,144
2656,145
2659,101
2664,101
2664,103
2666,103
2666,152
2667,146
2668,61
2669,51
2669,112
2670,102
2673,83
2673,107
2673,152
2674,103
2675,111
2676,93
2678,107
2678,145
2681,103
2681,151
2683,111
2685,102
2686,102
2687,101
2689,94
2692,95
2693,93
2694,111
2695,111
2698,103
2700,95
2702,111
2705,111
2706,63
2706,144
2708,51
2708,95
2714,92
2715,93
2721,83
2721,146
2721,151
2722,107
2726,61
2726,102
2726,103
2729,44
2729,112
2729,134
2730,105
2733,96
2734,81
2734,93
2734,106
2734,152
2735,103
2736,102
2737,93
2742,101
2743,33
2743,93
2743,146
2747,101
2749,112
2749,152
2750,95
2751,83
2752,111
2753,111
2754,106
2760,93
2761,93
2762,111
2763,93
2763,146
2764,111
2764,152
2767,33
2767,144
2768,91
2769,103
2773,32
2773,93
2776,61
2776,155
2777,96
2777,103
2778,102
2780,103
2782,103
2784,94
2788,106
2789,111
2790,103
2791,101
2791,103
2792,61
2792,102
2795,33
2795,34
2795,93
2796,103
2798,111
2798,152
2801,51
2801,52
2802,51
2802,52
2802,71
2804,51
2805,51
2806,51
2809,51
2809,62
2809,71
2810,51
2810,52
2811,51
2811,52
2812,51
2812,71
2813,51
2814,51
2815,51
2816,51
2818,51
2818,111
2819,51
2820,51
2830,51
2831,51
2871,51
2871,131
2872,51
2874,51
2874,131
2875,51
2875,131
2876,112
2877,51
2882,95
2882,111
2883,95
2884,51
2884,52
2884,95
2892,23
2892,51
2892,71
2894,51
2897,51
2899,51
2901,51
2901,52
2902,51
2902,71
2903,51
2904,51
2905,51
2907,51
2908,51
2910,51
2910,112
2911,51
2914,51
2914,52
2914,71
2915,51
2916,51
2917,51
2918,51
2919,51
2922,51
2923,51
2924,51
2925,51
2926,51
2927,51
2927,71
2927,107
2928,107
2928,151
2929,51
2929,71
2930,51
2930,71
2930,107
2930,145
2931,51
2931,62
2931,71
2932,51
2970,83
2971,127
2972,127
2974,83
2975,83
2975,126
2976,83
2977,83
2978,83
2978,145
2979,127
2980,83
2980,145
2980,146
2981,83
2982,83
2982,126
2985,83
2986,83
2987,83
3001,32
3001,41
3001,61
3001,71
3001,101
3002,23
3002,61
3002,151
3003,83
3003,126
3004,51
3004,92
3004,93
3004,95
3010,83
3010,156
3011,106
3020,105
3021,103
3023,93
3024,93
3028,103
3028,151
3030,111
3031,124
3031,145
3032,103
3034,103
3035,93
3036,93
3038,95
3038,101
3039,111
3040,146
3041,96
3041,152
3042,146
3045,61
3046,102
3047,106
3047,125
3048,105
3048,107
3048,145
3050,103
3053,111
3054,93
3054,96
3055,94
3055,103
3057,111
3058,103
3059,102
3059,103
3059,107
3063,111
3064,93
3064,145
3065,111
3066,111
3067,111
3068,111
3069,111
3070,96
3071,107
3071,145
3073,111
3075,111
3076,34
3076,83
3077,111
3079,94
3080,103
3082,111
3083,102
3085,111
3086,101
3087,111
3088,101
3088,103
3089,93
3091,111
3092,107
3092,145
3093,103
3094,101
3094,103
3096,101
3096,112
3097,111
3098,101
3098,103
3099,101
3101,21
3101,23
3101,71
3103,21
3103,23
3104,21
3104,23
3104,25
3104,61
3105,21
3105,22
3105,23
3105,25
3105,32
3105,34
3105,42
3106,21
3106,82
3107,21
3107,93
3109,21
3110,21
3110,82
3111,21
3113,126
3113,155
3116,42
3121,126
3121,156
3123,21
3123,61
3125,21
3131,93
3132,93
3133,95
3133,111
3134,96
3134,107
3134,145
3134,146
3135,107
3135,143
3135,145
3136,12
3136,103
3137,107
3137,112
3137,155
3138,96
3138,107
3138,141
3138,144
3138,145
3139,95
3140,62
3141,101
3141,103
3143,51
3143,95
3148,101
3148,103
3150,12
3151,94
3153,93
3153,146
3154,94
3156,93
3157,93
3159,103
3159,155
3160,95
3160,112
3161,61
3161,82
3161,92
3166,93
3167,12
3167,141
3167,142
3168,26
3169,62
3169,103
3172,107
3173,93
3174,102
3175,51
3175,111
3176,92
3176,93
3177,103
3177,111
3178,111
3179,103
3179,107
3179,145
3180,83
3180,94
3180,145
3181,103
3182,107
3182,145
3183,94
3184,106
3184,155
3185,92
3185,96
3185,107
3185,145
3186,106
3187,93
3187,107
3189,92
3189,102
3189,107
3189,145
3190,103
3190,152
3191,103
3192,107
3192,145
3193,111
3194,101
3194,103
3195,107
3195,145
3196,111
3196,112
3197,111
3198,111
3199,81
3199,92
3199,96
3199,103
3201,21
3202,21
3202,61
3204,21
3205,21
3205,61
3221,111
3222,101
3223,111
3223,143
3224,95
3224,111
3226,127
3227,127
3228,83
3231,83
3232,132
3234,127
3236,83
3237,82
3237,83
3237,126
3238,83
3241,83
3242,83
3244,83
3245,83
3246,83
3248,83
3249,127
3252,126
3254,83
3260,83
3261,83
3264,83
3266,126
3267,83
3269,127
3271,83
3275,83
3276,83
3277,83
3278,127
3279,127
3280,83
3281,127
3282,127
3283,127
3284,83
3286,83
3287,127
3288,83
3288,124
3289,82
3289,83
3289,103
3289,151
3290,127
3291,83
3292,127
3293,83
3293,156
3294,83
3295,127
3296,127
3297,83
3298,127
3299,83
3300,83
3302,21
3302,34
3302,41
3306,27
3306,42
3306,51
3309,127
3315,11
3316,146
3317,111
3319,103
3319,107
3319,145
3320,61
3321,93
3322,96
3322,105
3323,93
3326,103
3326,151
3328,107
3328,145
3329,111
3333,44
3333,103
3341,103
3344,103
3346,95
3346,101
3346,103
3347,106
3347,125
3349,101
3349,103
3350,156
3352,103
3352,152
3353,103
3355,24
3355,92
3355,93
3356,93
3358,111
3359,92
3360,94
3360,103
3360,152
3360,155
3361,12
3361,52
3370,111
3371,93
3371,146
3372,111
3372,112
3374,93
3375,105
3376,61
3376,102
3377,106
3382,101
3382,102
3382,103
3382,107
3382,111
3382,121
3382,124
3382,145
3384,106
3386,94
3387,111
3388,93
3390,105
3390,146
3391,101
3391,103
3392,51
3393,93
3393,146
3395,111
3396,107
3397,111
3399,111
3401,21
3401,23
3401,71
3402,21
3402,23
3402,31
3402,32
3402,33
3402,36
3402,71
3402,81
3402,82
3405,21
3405,23
3407,21
3407,23
3407,24
3407,32
3407,33
3407,36
3407,71
3407,82
3407,83
3408,21
3409,21
3415,102
3416,145
3417,94
3418,101
3418,111
3419,96
3420,81
3420,93
3421,62
3421,125
3422,32
3423,82
3423,83
3426,62
3431,81
3433,26
3434,34
3434,42
3435,26
3436,36
3437,81
3437,155
3439,26
3440,24
3440,26
3440,82
3441,26
3442,26
3443,81
3444,32
3444,155
3445,36
3446,33
3447,82
3448,26
3449,26
3449,72
3449,81
3451,127
3452,82
3452,83
3453,127
3454,126
3455,127
3456,83
3456,143
3457,83
3458,82
3458,83
3458,126
3459,127
3461,83
3461,146
3462,127
3463,127
3464,83
3465,83
3466,127
3467,83
3468,127
3469,83
3470,127
3471,127
3472,127
3474,83
3474,111
3475,83
3476,127
3477,83
3478,127
3479,83
3480,83
3480,152
3481,127
3482,126
3483,83
3484,83
3486,83
3487,127
3488,127
3489,83
3490,83
3491,83
3492,127
3493,127
3494,83
3494,126
3495,83
3496,83
3496,145
3497,83
3498,12
3498,83
3498,101
3501,42
3501,62
3504,62
3504,96
3504,107
3512,21
3513,21
3515,21
3521,62
3521,83
3521,151
3524,32
3526,42
3528,81
3528,83
3529,61
3536,95
3536,103
3537,92
3537,96
3538,106
3539,101
3540,94
3541,95
3542,107
3542,145
3543,111
3544,101
3544,103
3546,103
3547,111
3548,102
3549,101
3549,103
3550,102
3550,107
3550,145
3551,21
3551,22
3551,27
3551,42
3551,62
3551,82
3553,23
3553,42
3553,82
3556,103
3556,107
3556,145
3557,111
3558,107
3558,145
3559,145
3560,96
3560,107
3560,145
3561,51
3561,111
3562,93
3562,146
3563,111
3565,93
3565,146
3566,61
3566,107
3569,21
3569,23
3569,42
3569,61
3569,82
3571,21
3577,21
3578,21
3580,21
3583,62
3583,71
3591,61
3593,71
3597,61
3598,61
3600,21
3604,71
3604,72
3604,94
3607,152
3608,61
3611,61
3612,61
3622,143
3622,146
3623,124
3624,144
3625,146
3626,146
3627,144
3628,146
3630,124
3630,146
3632,144
3632,145
3633,146
3634,144
3635,33
3635,144
3635,151
3636,146
3636,155
3639,144
3640,146
3641,144
3645,145
3645,155
3646,145
3646,146
3647,81
3647,83
3648,146
3649,146
3652,36
3653,146
3655,146
3655,155
3656,144
3657,146
3658,144
3659,144
3660,103
3660,107
3660,145
3661,144
3662,144
3662,145
3663,146
3664,144
3664,145
3665,107
3665,145
3666,146
3667,144
3668,144
3670,105
3670,146
3671,146
3672,144
3673,146
3674,145
3675,144
3675,155
3676,33
3676,144
3676,145
3676,146
3677,146
3678,143
3678,144
3679,145
3679,154
3680,143
3680,146
3681,146
3682,146
3683,105
3683,146
3686,143
3686,144
3687,93
3687,146
3688,107
3688,143
3688,145
3689,144
3690,143
3690,146
3691,143
3692,146
3693,144
3693,146
3693,154
3693,155
3694,146
3695,155
3696,143
3696,144
3696,145
3696,154
3697,146
3698,146
3708,22
3710,145
3710,146
3712,146
3719,155
3723,144
3726,107
3727,141
3727,146
3733,146
3738,105
3738,124
3739,144
3739,146
3741,146
3744,146
3747,146
3747,154
3747,155
3750,96
3750,126
3750,141
3751,81
3751,83
3753,146
3758,144
3760,144
3762,93
3762,146
3763,146
3765,144
3766,146
3768,155
3769,124
3770,107
3770,144
3770,145
3771,146
3772,126
3772,141
3772,155
3773,146
3774,142
3774,146
3775,146
3776,146
3777,12
3777,146
3778,146
3779,107
3779,141
3779,153
3779,155
3782,146
3784,146
3787,146
3788,146
3791,141
3791,144
3791,155
3793,143
3793,144
3793,146
3796,146
3798,146
3799,146
3800,146
3802,155
3803,93
3803,146
3804,146
3807,143
3807,155
3808,145
3810,144
3814,146
3815,144
3816,146
3817,93
3817,146
3823,146
3824,146
3824,154
3824,155
3825,126
3825,146
3826,146
3830,142
3830,146
3834,142
3835,146
3836,146
3837,146
3839,146
3840,62
3840,107
3840,124
3840,141
3840,155
3840,156
3841,146
3842,146
3843,142
3843,143
3843,146
3844,146
3845,107
3845,144
3845,145
3847,146
3848,146
3849,146
3850,146
3851,144
3852,146
3853,146
3854,145
3854,146
3854,154
3856,93
3857,146
3858,146
3861,22
3861,23
3863,22
3864,21
3864,22
3864,23
3865,22
3877,22
3878,22
3878,23
3880,22
3891,23
3891,32
3891,36
3892,22
3895,21
3895,22
3896,21
3896,36
3896,42
3900,145
3901,145
3901,155
3902,146
3903,144
3904,144
3904,146
3905,143
3905,146
3905,155
3906,143
3906,146
3907,144
3907,146
3907,154
3907,155
3908,146
3909,143
3909,146
3910,146
3911,144
3912,144
3913,146
3914,146
3915,146
3916,93
3916,146
3917,143
3917,146
3918,146
3919,143
3919,146
3920,146
3921,146
3922,143
3922,155
3923,146
3923,154
3923,155
3924,146
3925,146
3926,145
3926,156
3927,146
3928,144
3929,125
3929,155
3930,143
3930,145
3930,146
3931,141
3931,143
3931,144
3931,145
3931,146
3932,144
3933,146
3933,153
3934,52
3934,105
3934,107
3934,142
3935,144
3936,145
3936,146
3936,154
3937,146
3938,124
3938,143
3938,144
3938,145
3939,146
3940,146
3941,22
3941,27
3943,22
3943,27
3944,22
3944,27
3945,22
3945,27
3946,22
3946,83
3947,22
3947,27
3948,62
3948,155
3950,22
3950,27
3951,22
3951,27
3951,155
3952,22
3953,22
3954,27
3955,62
3956,22
3960,33
3961,143
3962,146
3963,145
3963,154
3964,106
3964,145
3965,146
3966,143
3966,144
3966,145
3966,155
3967,146
3967,155
3968,146
3969,146
3970,143
3970,145
3970,146
3974,146
3974,152
3974,155
3975,143
3975,144
3975,152
3976,146
3977,143
3977,155
3978,155
3979,145
3979,146
3979,155
3981,144
3983,143
3983,146
3984,143
3984,146
3985,146
3986,146
3987,34
3987,146
3988,146
3989,143
3989,145
3990,144
3991,145
3991,154
3992,146
3993,146
3994,144
3994,145
3995,107
3995,144
3995,145
3996,146
3997,146
3998,153
3999,146
4004,23
4004,25
4004,26
4004,32
4004,34
4005,23
4005,24
4005,32
4005,36
4005,71
4008,23
4008,71
4011,146
4012,146
4013,33
4013,146
4014,145
4021,23
4021,71
4022,23
4022,32
4023,21
4023,23
4023,25
4023,27
4023,71
4025,23
4026,23
4026,82
4027,23
4028,23
4031,23
4041,23
4041,71
4042,23
4042,24
4043,23
4043,25
4043,36
4043,71
4043,82
4044,21
4044,23
4044,25
4045,23
4046,23
4046,24
4046,71
4046,82
4047,23
4047,32
4051,124
4052,146
4053,146
4053,154
4053,155
4054,146
4055,146
4056,146
4057,146
4058,146
4059,144
4059,145
4060,146
4061,23
4061,24
4061,25
4061,27
4061,36
4062,25
4062,36
4062,42
4062,81
4063,23
4063,36
4064,23
4064,36
4064,81
4064,82
4078,23
4078,71
4080,32
4082,23
4088,23
4088,71
4091,23
4091,71
4092,23
4092,32
4092,71
4093,23
4094,23
4095,23
4095,26
4095,32
4097,23
4098,23
4099,23
4099,82
4100,23
4100,32
4102,23
4107,11
4107,23
4109,23
4109,32
4112,23
4113,23
4113,71
4114,23
4114,42
4114,71
4115,23
4116,23
4118,23
4118,27
4118,32
4118,36
4118,51
4118,71
4119,23
4120,23
4120,71
4124,23
4151,23
4151,71
4182,23
4183,21
4183,23
4185,23
4185,24
4186,23
4186,32
4187,23
4188,12
4188,21
4188,23
4188,25
4188,32
4188,71
4189,23
4202,23
4202,32
4203,23
4203,27
4203,33
4203,36
4204,23
4204,82
4204,83
4205,23
4205,24
4205,32
4206,23
4206,36
4206,82
4208,23
4208,24
4208,25
4208,32
4208,71
4208,82
4208,93
4212,27
4212,82
4215,23
4215,82
4216,23
4216,82
4218,23
4218,62
4218,71
4220,23
4220,27
4221,23
4221,27
4221,82
4222,23
4222,32
4222,42
4222,82
4224,82
4228,23
4228,27
4228,42
4228,82
4229,23
4229,51
4231,23
4231,24
4234,23
4234,27
4235,23
